length,intervention,mean_ppl,std_ppl,delta_vs_baseline,n,loss_tokens
256,sinkpos0:exclamation,13.179553872413269,5.410077200741355,-0.026999709187238707,50,128
256,sinkpos1:eos,13.233172291776743,5.408768166577365,0.026618710176235183,50,128
256,sinkpos1:exclamation,13.204684762953004,5.429306611607141,-0.001868818647503545,50,128
512,baseline,11.687804525182017,4.125251689253246,0.0,50,128
512,prefix:instruction:plen10,11.72055465171295,4.117286248721619,0.03275012653093334,50,128
512,prefix:instruction:plen128,11.813159122120194,4.111164923036884,0.12535459693817685,50,128
512,prefix:instruction:plen256,11.823351225531221,4.1042819688099845,0.13554670034920413,50,128
512,prefix:instruction:plen32,11.79018644476967,4.103630839301005,0.10238191958765341,50,128
512,prefix:instruction:plen64,11.808912778031042,4.1115659807342295,0.12110825284902482,50,128
512,prefix:punctuation:plen10,11.68278661750997,4.111511728460084,-0.005017907672046462,50,128
512,prefix:punctuation:plen128,11.680076307812335,4.08825150848292,-0.007728217369681545,50,128
512,prefix:punctuation:plen256,11.682203056553535,4.072603298515607,-0.005601468628482209,50,128
512,prefix:punctuation:plen32,11.681238433654585,4.1014706819931215,-0.00656609152743215,50,128
512,prefix:punctuation:plen64,11.679652452246408,4.090725230342913,-0.0081520729356086,50,128
512,prefix:random_words:plen10,11.695084015691165,4.123955679708308,0.007279490509148445,50,128
512,prefix:random_words:plen128,11.735247414290297,4.152972483038119,0.04744288910828054,50,128
512,prefix:random_words:plen256,11.767161313676654,4.1857209181089665,0.07935678849463734,50,128
512,prefix:random_words:plen32,11.712056269522211,4.12810293747366,0.024251744340194392,50,128
512,prefix:random_words:plen64,11.722227890890466,4.141509327423012,0.03442336570844873,50,128
512,prefix:whitespace:plen10,12.142369892249608,4.275731638325428,0.4545653670675911,50,128
512,prefix:whitespace:plen128,15.188159737008336,5.09008433930553,3.500355211826319,50,128
512,prefix:whitespace:plen256,17.995659213487148,6.006527406811491,6.307854688305131,50,128
512,prefix:whitespace:plen32,12.911472637950853,4.509585103025068,1.223668112768836,50,128
512,prefix:whitespace:plen64,13.736990236098586,4.681661564813584,2.0491857109165696,50,128
512,sinkpos0:eos,11.676276844748559,4.12022248873356,-0.011527680433458087,50,128
512,sinkpos0:exclamation,11.682428139344566,4.13034006025075,-0.0053763858374509255,50,128
512,sinkpos1:eos,11.689288235053773,4.120794322207765,0.001483709871756389,50,128
512,sinkpos1:exclamation,11.686699371055868,4.126442792902012,-0.0011051541261490883,50,128
1024,baseline,11.508764587299543,4.695694811050566,0.0,50,128
1024,prefix:instruction:plen10,11.541843572943543,4.718234009257475,0.033078985643999914,50,128
1024,prefix:instruction:plen128,11.559275678360972,4.708653275079241,0.050511091061428814,50,128
1024,prefix:instruction:plen256,11.571018820527563,4.7253030613565326,0.06225423322801937,50,128
1024,prefix:instruction:plen32,11.555396156678514,4.717954507920535,0.04663156937897028,50,128
1024,prefix:instruction:plen64,11.561682869708381,4.708912406685402,0.05291828240883767,50,128
1024,prefix:punctuation:plen10,11.511082974053814,4.695224981195602,0.0023183867542702075,50,128
1024,prefix:punctuation:plen128,11.517014300098571,4.684440523763953,0.008249712799027975,50,128
1024,prefix:punctuation:plen256,11.524260018649473,4.6833702755445445,0.01549543134992959,50,128
1024,prefix:punctuation:plen32,11.512805579138774,4.690532789520587,0.004040991839231012,50,128
1024,prefix:punctuation:plen64,11.513398387893899,4.686727567813406,0.004633800594355364,50,128
1024,prefix:random_words:plen10,11.514883703234169,4.697805977731013,0.006119115934625441,50,128
1024,prefix:random_words:plen128,11.53763026351824,4.706569588467985,0.028865676218696734,50,128
1024,prefix:random_words:plen256,11.54871062152139,4.712745982201353,0.03994603422184717,50,128
1024,prefix:random_words:plen32,11.526093956563344,4.702511750524779,0.017329369263800132,50,128
1024,prefix:random_words:plen64,11.526661341061079,4.701869683934847,0.017896753761535322,50,128
1024,prefix:whitespace:plen10,11.984745587642813,5.066229387717445,0.4759810003432694,50,128
1024,prefix:whitespace:plen128,15.366946992174787,6.790006118788092,3.8581824048752438,50,128
1024,prefix:whitespace:plen256,18.54435131320856,8.456656892995051,7.035586725909015,50,128
1024,prefix:whitespace:plen32,12.820315794813858,5.482334025765436,1.3115512075143148,50,128
1024,prefix:whitespace:plen64,13.787017217714451,5.994737347704261,2.278252630414908,50,128
1024,sinkpos0:eos,11.518338273976093,4.697085342997662,0.009573686676549897,50,128
1024,sinkpos0:exclamation,11.51205673329612,4.698250828130367,0.0032921459965766786,50,128
1024,sinkpos10:eos,11.513974261506203,4.692735648192746,0.005209674206659187,50,128
1024,sinkpos10:exclamation,11.508410776213395,4.697082503312596,-0.00035381108614807033,50,128
