length,prefix,ppl,tokens
256,random_words,13.968100706574505,256
256,instruction,13.968100706574505,256
256,baseline,14.832411840572888,256
256,whitespace,14.832411840572888,256
256,punctuation,14.832411840572888,256
256,random_words,14.832411840572888,256
256,instruction,14.832411840572888,256
256,baseline,16.208878981928606,256
256,whitespace,16.208878981928606,256
256,punctuation,16.208878981928606,256
256,random_words,16.208878981928606,256
256,instruction,16.208878981928606,256
256,baseline,10.39815919397692,256
256,whitespace,10.39815919397692,256
256,punctuation,10.39815919397692,256
256,random_words,10.39815919397692,256
256,instruction,10.39815919397692,256
256,baseline,13.724225549110818,256
256,whitespace,13.724225549110818,256
256,punctuation,13.724225549110818,256
256,random_words,13.724225549110818,256
256,instruction,13.724225549110818,256
256,baseline,15.678019997712425,256
256,whitespace,15.678019997712425,256
256,punctuation,15.678019997712425,256
256,random_words,15.678019997712425,256
256,instruction,15.678019997712425,256
256,baseline,15.409620578891221,256
256,whitespace,15.409620578891221,256
256,punctuation,15.409620578891221,256
256,random_words,15.409620578891221,256
256,instruction,15.409620578891221,256
256,baseline,11.853363485265993,256
256,whitespace,11.853363485265993,256
256,punctuation,11.853363485265993,256
256,random_words,11.853363485265993,256
256,instruction,11.853363485265993,256
256,baseline,21.76576319582598,256
256,whitespace,21.76576319582598,256
256,punctuation,21.76576319582598,256
256,random_words,21.76576319582598,256
256,instruction,21.76576319582598,256
256,baseline,17.14567734251101,256
256,whitespace,17.14567734251101,256
256,punctuation,17.14567734251101,256
256,random_words,17.14567734251101,256
256,instruction,17.14567734251101,256
256,baseline,44.63240858949626,256
256,whitespace,44.63240858949626,256
256,punctuation,44.63240858949626,256
256,random_words,44.63240858949626,256
256,instruction,44.63240858949626,256
256,baseline,19.713368627872036,256
256,whitespace,19.713368627872036,256
256,punctuation,19.713368627872036,256
256,random_words,19.713368627872036,256
256,instruction,19.713368627872036,256
256,baseline,12.77543230414892,256
256,whitespace,12.77543230414892,256
256,punctuation,12.77543230414892,256
256,random_words,12.77543230414892,256
256,instruction,12.77543230414892,256
256,baseline,17.304906205497574,256
256,whitespace,17.304906205497574,256
256,punctuation,17.304906205497574,256
256,random_words,17.304906205497574,256
256,instruction,17.304906205497574,256
256,baseline,11.334138210661836,256
256,whitespace,11.334138210661836,256
256,punctuation,11.334138210661836,256
256,random_words,11.334138210661836,256
256,instruction,11.334138210661836,256
256,baseline,24.925570948848783,256
256,whitespace,24.925570948848783,256
256,punctuation,24.925570948848783,256
256,random_words,24.925570948848783,256
256,instruction,24.925570948848783,256
256,baseline,18.044025562669965,256
256,whitespace,18.044025562669965,256
256,punctuation,18.044025562669965,256
256,random_words,18.044025562669965,256
256,instruction,18.044025562669965,256
256,baseline,10.790503059215547,256
256,whitespace,10.790503059215547,256
256,punctuation,10.790503059215547,256
256,random_words,10.790503059215547,256
256,instruction,10.790503059215547,256
256,baseline,12.19904069354361,256
256,whitespace,12.19904069354361,256
256,punctuation,12.19904069354361,256
256,random_words,12.19904069354361,256
256,instruction,12.19904069354361,256
256,baseline,12.555678875598362,256
256,whitespace,12.555678875598362,256
256,punctuation,12.555678875598362,256
256,random_words,12.555678875598362,256
256,instruction,12.555678875598362,256
256,baseline,23.039329635329437,256
256,whitespace,23.039329635329437,256
256,punctuation,23.039329635329437,256
256,random_words,23.039329635329437,256
256,instruction,23.039329635329437,256
256,baseline,13.481557642320032,256
256,whitespace,13.481557642320032,256
256,punctuation,13.481557642320032,256
256,random_words,13.481557642320032,256
256,instruction,13.481557642320032,256
256,baseline,11.409671297871286,256
256,whitespace,11.409671297871286,256
256,punctuation,11.409671297871286,256
256,random_words,11.409671297871286,256
