length,intervention,ppl,tokens,loss_start,loss_tokens,prefix_len
256,prefix:punctuation:plen128,10.24382838065067,128,256,128,128.0
256,prefix:random_words:plen128,10.049244940390825,128,256,128,128.0
256,prefix:instruction:plen128,10.142865516832517,128,256,128,128.0
256,prefix:whitespace:plen256,15.793605916517068,128,384,128,256.0
256,prefix:punctuation:plen256,10.256086381047089,128,384,128,256.0
256,prefix:random_words:plen256,10.030076663775542,128,384,128,256.0
256,prefix:instruction:plen256,10.152659308378789,128,384,128,256.0
256,sinkpos0:eos,10.099321974225216,128,128,128,
256,sinkpos1:eos,10.092322326694305,128,128,128,
256,sinkpos0:exclamation,10.109148437007923,128,128,128,
256,sinkpos1:exclamation,10.161081586161094,128,128,128,
256,baseline,20.57332144667514,128,128,128,
256,prefix:whitespace:plen10,21.80579437856117,128,138,128,10.0
256,prefix:punctuation:plen10,20.542790491576152,128,138,128,10.0
256,prefix:random_words:plen10,20.362791853502564,128,138,128,10.0
256,prefix:instruction:plen10,20.572566080984128,128,138,128,10.0
256,prefix:whitespace:plen32,22.413030436515566,128,160,128,32.0
256,prefix:punctuation:plen32,20.755992635946317,128,160,128,32.0
256,prefix:random_words:plen32,20.435521122288502,128,160,128,32.0
256,prefix:instruction:plen32,20.67114439341787,128,160,128,32.0
256,prefix:whitespace:plen64,23.27500675995832,128,192,128,64.0
256,prefix:punctuation:plen64,20.879171414428445,128,192,128,64.0
256,prefix:random_words:plen64,20.328899129090093,128,192,128,64.0
256,prefix:instruction:plen64,20.77254740051821,128,192,128,64.0
256,prefix:whitespace:plen128,24.515206866548475,128,256,128,128.0
256,prefix:punctuation:plen128,21.00970220239576,128,256,128,128.0
256,prefix:random_words:plen128,20.23166352665856,128,256,128,128.0
256,prefix:instruction:plen128,20.552853001356983,128,256,128,128.0
256,prefix:whitespace:plen256,30.680276399862063,128,384,128,256.0
256,prefix:punctuation:plen256,21.18890645150769,128,384,128,256.0
256,prefix:random_words:plen256,20.076780181089372,128,384,128,256.0
256,prefix:instruction:plen256,20.566484926294642,128,384,128,256.0
256,sinkpos0:eos,20.799283659698222,128,128,128,
256,sinkpos1:eos,20.86959099700623,128,128,128,
256,sinkpos0:exclamation,20.81738668948885,128,128,128,
256,sinkpos1:exclamation,20.88379149316143,128,128,128,
256,baseline,11.623561042497688,128,128,128,
256,prefix:whitespace:plen10,11.789781491475992,128,138,128,10.0
256,prefix:punctuation:plen10,11.541558717680948,128,138,128,10.0
256,prefix:random_words:plen10,11.524246872291828,128,138,128,10.0
256,prefix:instruction:plen10,11.385269336460812,128,138,128,10.0
