length,intervention,mean_ppl,std_ppl,delta_vs_baseline,n,loss_tokens,prefix_len,total_tokens
512,prefix:whitespace:plen10,12.142369892249608,4.275731638325428,0.4545653670675911,50,128,10,522
512,prefix:instruction:plen32,11.79018644476967,4.103630839301005,0.1023819195876534,50,128,32,544
512,prefix:punctuation:plen32,11.681238433654585,4.1014706819931215,-0.0065660915274321,50,128,32,544
512,prefix:random_words:plen32,11.712056269522211,4.12810293747366,0.0242517443401943,50,128,32,544
512,prefix:whitespace:plen32,12.911472637950853,4.509585103025068,1.223668112768836,50,128,32,544
512,prefix:instruction:plen64,11.808912778031042,4.1115659807342295,0.1211082528490248,50,128,64,576
512,prefix:punctuation:plen64,11.679652452246408,4.090725230342913,-0.0081520729356086,50,128,64,576
512,prefix:random_words:plen64,11.722227890890466,4.141509327423012,0.0344233657084487,50,128,64,576
512,prefix:whitespace:plen64,13.736990236098586,4.681661564813584,2.0491857109165696,50,128,64,576
512,prefix:instruction:plen128,11.813159122120194,4.111164923036884,0.1253545969381768,50,128,128,640
512,prefix:punctuation:plen128,11.680076307812335,4.08825150848292,-0.0077282173696815,50,128,128,640
512,prefix:random_words:plen128,11.735247414290296,4.152972483038119,0.0474428891082805,50,128,128,640
512,prefix:whitespace:plen128,15.188159737008336,5.09008433930553,3.500355211826319,50,128,128,640
512,prefix:instruction:plen256,11.82335122553122,4.1042819688099845,0.1355467003492041,50,128,256,768
512,prefix:punctuation:plen256,11.682203056553536,4.072603298515607,-0.0056014686284822,50,128,256,768
512,prefix:random_words:plen256,11.767161313676654,4.185720918108967,0.0793567884946373,50,128,256,768
512,prefix:whitespace:plen256,17.995659213487148,6.006527406811491,6.307854688305131,50,128,256,768
1024,baseline,11.508764587299543,4.695694811050566,0.0,50,128,0,1024
1024,sinkpos0:eos,11.518338273976092,4.697085342997662,0.0095736866765498,50,128,0,1024
1024,sinkpos0:exclamation,11.51205673329612,4.698250828130367,0.0032921459965766,50,128,0,1024
1024,sinkpos10:eos,11.513974261506204,4.692735648192746,0.0052096742066591,50,128,0,1024
1024,sinkpos10:exclamation,11.508410776213395,4.697082503312596,-0.000353811086148,50,128,0,1024
1024,prefix:instruction:plen10,11.541843572943543,4.718234009257475,0.0330789856439999,50,128,10,1034
1024,prefix:punctuation:plen10,11.511082974053814,4.695224981195602,0.0023183867542702,50,128,10,1034
1024,prefix:random_words:plen10,11.514883703234169,4.697805977731013,0.0061191159346254,50,128,10,1034
1024,prefix:whitespace:plen10,11.984745587642813,5.066229387717445,0.4759810003432694,50,128,10,1034
1024,prefix:instruction:plen32,11.555396156678514,4.717954507920535,0.0466315693789702,50,128,32,1056
1024,prefix:punctuation:plen32,11.512805579138774,4.690532789520587,0.004040991839231,50,128,32,1056
1024,prefix:random_words:plen32,11.526093956563344,4.702511750524779,0.0173293692638001,50,128,32,1056
1024,prefix:whitespace:plen32,12.820315794813858,5.482334025765436,1.3115512075143148,50,128,32,1056
1024,prefix:instruction:plen64,11.56168286970838,4.708912406685402,0.0529182824088376,50,128,64,1088
1024,prefix:punctuation:plen64,11.5133983878939,4.686727567813406,0.0046338005943553,50,128,64,1088
1024,prefix:random_words:plen64,11.52666134106108,4.701869683934847,0.0178967537615353,50,128,64,1088
1024,prefix:whitespace:plen64,13.787017217714451,5.994737347704261,2.278252630414908,50,128,64,1088
1024,prefix:instruction:plen128,11.559275678360972,4.708653275079241,0.0505110910614288,50,128,128,1152
1024,prefix:punctuation:plen128,11.517014300098571,4.684440523763953,0.0082497127990279,50,128,128,1152
1024,prefix:random_words:plen128,11.53763026351824,4.706569588467985,0.0288656762186967,50,128,128,1152
1024,prefix:whitespace:plen128,15.366946992174787,6.790006118788092,3.858182404875244,50,128,128,1152
1024,prefix:instruction:plen256,11.571018820527565,4.7253030613565326,0.0622542332280193,50,128,256,1280
1024,prefix:punctuation:plen256,11.524260018649471,4.6833702755445445,0.0154954313499295,50,128,256,1280
1024,prefix:random_words:plen256,11.54871062152139,4.712745982201353,0.0399460342218471,50,128,256,1280
1024,prefix:whitespace:plen256,18.54435131320856,8.456656892995051,7.035586725909015,50,128,256,1280
